Date,Time,Match,Stars,Odds,HTHG,HTAG,FTHG,FTAG
21/01/2020,20:30,Crystal Palace - Southampton,,3.2,0,1,0,2
22/01/2020,00:15,Perilima - Sousa,,2.8,1,0,2,1
22/01/2020,13:30,Al-Kawkab - Al Taee,,2.9,1,0,1,0
22/01/2020,15:00,Gozzano - Alessandria,,3,0,0,0,1
22/01/2020,18:00,Teramo - Catanzaro,,3,1,0,1,0
22/01/2020,21:00,Novorizontino - Oeste,,3.4,1,0,2,0
23/01/2020,00:30,Anapolis - Vila Nova FC,,3.6,0,0,0,0
23/01/2020,18:00,Gubbio - Triestina,,3.2,1,0,2,0
23/01/2020,20:00,Beziers - Dunkerque,,3.3,0,1,1,2
23/01/2020,22:00,FAS - Santa Tecla,,3.3,0,0,2,0
24/01/2020,00:00,La Serena - Deportes Temuco,,3.2,0,0,0,0
24/01/2020,12:00,Kiryat Gat - Maccabi Yavne,,3.2,0,1,0,5
24/01/2020,20:00,Auxerre - Sochaux,,2.8,1,1,2,1
24/01/2020,23:40,Gimnasia L.P. - Velez Sarsfield,,3.1,0,0,0,0
25/01/2020,11:00,Yomraspor - Sultanbeyli,,3.1,0,0,1,4
25/01/2020,13:00,Gol Gohar - Saipa,,2.6,1,0,1,1
25/01/2020,15:00,Pro Patria - Juventus U23,,2.9,1,1,3,2
25/01/2020,16:30,Llagostera - Prat,,2.8,1,0,1,1
25/01/2020,18:15,Las Palmas - Tenerife,,3.1,0,0,0,0
25/01/2020,20:45,Pistoiese - Carrarese,,2.8,0,1,1,1
26/01/2020,00:30,Sportivo Belgrano - Sportivo Las Parejas,,2.9,0,0,0,0
26/01/2020,11:30,Catalca - Yeni Orduspor,,3.3,0,1,1,3
26/01/2020,13:00,Naft M.I.S - Sanat Naft,,2.8,1,0,2,0
26/01/2020,15:00,ArzignanoChiampo - Sambenedettese,,3,1,0,1,1
26/01/2020,17:30,Como - Renate,,3,1,0,2,0
26/01/2020,22:00,Crucero del Norte - Def. Pronunciamiento,,3.1,2,0,2,0
27/01/2020,00:00,Defensores Belgrano VR - Sarmiento Resistencia,,2.8,0,0,0,0
27/01/2020,13:30,Haras El Hodood - Aswan SC,,3.1,0,1,1,2
27/01/2020,17:00,Olympique de Safi - Mouloudia Oujda,,2.7,0,1,2,2
27/01/2020,21:00,Bournemouth - Arsenal,,3.9,0,2,1,2
28/01/2020,16:10,Al Sailiya (Qat) - Shahr Khodrou (Irn),,3,0,0,0,0
28/01/2020,18:30,Arminia Bielefeld - Bochum,,4,1,0,2,0
28/01/2020,20:45,Fleetwood - Coventry,,3.4,0,0,0,0
29/01/2020,01:05,Talleres (R.E) - Tristan Suarez,,2.9,0,1,1,1
29/01/2020,16:00,El Masry - Tanta,,3.1,0,0,1,2
29/01/2020,18:00,H. Raanana - Shmona,,3,1,0,1,1
29/01/2020,20:45,Gillingham - Shrewsbury,,3.3,2,0,2,0
30/01/2020,00:10,Chico - Patriotas,,2.8,0,0,1,0
30/01/2020,16:00,El Ismaily - El-Entag El-Harby,,3,2,1,3,2
30/01/2020,18:30,Al Ittihad - Smouha,,3,1,0,1,1
31/01/2020,00:15,Cucuta - Millonarios,,3.1,0,0,1,1
31/01/2020,12:15,Maccabi Jaffa - Agudat Sport Ashdod,,3.2,0,0,1,1
31/01/2020,14:15,Sepahan - Foolad,,3,1,0,2,1
31/01/2020,17:00,Adanaspor AS - Osmanlispor,,3.3,2,0,3,1
31/01/2020,19:00,Maritzburg Utd - Cape Town City,,3,0,0,1,1
31/01/2020,21:00,Tenerife - Gijon,,2.9,2,0,2,1
01/02/2020,01:10,Huracan - Gimnasia L.P.,,2.9,1,1,1,1
01/02/2020,13:00,Granada CF - Espanyol,,2.9,1,1,2,1
01/02/2020,15:00,Olympique Khouribga - Moghreb Tetouan,,2.6,1,2,2,2
01/02/2020,18:15,Ponferradina - Huesca,,3,2,0,3,1
01/02/2020,20:00,Angers - Reims,,3.1,1,1,1,4
01/02/2020,22:05,Bucaramanga - Deportes Tolima,,3,0,0,0,0
01/02/2020,23:40,Atl. Tucuman - Defensa y Justicia,,3,1,0,1,1
02/02/2020,01:45,Argentinos Jrs - Racing Club,,2.9,1,0,1,1
02/02/2020,12:00,Fuenlabrada - Girona,,2.8,0,1,0,1
02/02/2020,14:30,Altinordu - Akhisarspor,,3.7,1,0,2,0
02/02/2020,16:00,Anadia - Sertanense,,2.8,0,0,1,0
02/02/2020,17:30,Gozzano - Pro Vercelli,,2.8,0,0,0,1
02/02/2020,20:30,Racing Santander - Alcorcon,,2.79,0,1,1,1
02/02/2020,23:20,Millonarios - La Equidad,,3.15,1,1,2,2
03/02/2020,01:45,Talleres Cordoba - Boca Juniors,,3.27,0,1,1,2
03/02/2020,13:00,Hapoel Kafr Kanna - Hapoel Herzliya,,3.17,1,1,1,2
03/02/2020,16:00,Enppi - Arab Contractors,,2.93,1,0,2,1
03/02/2020,18:30,Smouha - Misr Lel Makkasa,,2.97,0,0,1,1
03/02/2020,20:45,Grenoble - Le Havre,,2.73,0,0,1,1
04/02/2020,00:00,Aguilas - Santa Fe,,2.84,0,0,1,0
04/02/2020,16:00,El Gouna - Wadi Degla,,3.13,0,0,1,0
04/02/2020,18:30,El Gaish - Masr,,3.1,1,0,4,0
04/02/2020,21:05,Auxerre - Clermont,,2.93,0,0,0,0
05/02/2020,00:00,Envigado - Once Caldas,,3.04,0,0,0,1
05/02/2020,02:05,Patriotas - Dep. Cali,,3,0,0,0,0
05/02/2020,13:05,Foolad - Shahr Khodrou,,2.57,0,0,2,0
05/02/2020,19:00,Reims - Nice,,3.34,0,0,1,1
05/02/2020,21:00,San Martin Burzaco - Deportivo Espanol,,2.75,0,0,1,0
06/02/2020,00:30,Portuguesa - Portuguesa Santista,,2.9,0,0,0,1
06/02/2020,13:30,Naft M.I.S - Sepahan,,2.68,0,0,0,0
06/02/2020,15:00,Rapide Oued Zem - Wydad,,2.91,0,1,1,2
06/02/2020,19:00,Moghreb Tetouan - Berkane,,2.7,0,0,0,0
06/02/2020,20:30,Novorizontino - Figueirense,,3.35,1,0,1,2
06/02/2020,23:15,Brasiliense - Paysandu PA,,2.88,0,1,1,1
07/02/2020,13:30,Shahin Bushehr - Nassaji Mazandaran,,2.53,1,1,2,1
07/02/2020,18:30,Sandhausen - Heidenheim,,3.22,0,1,0,1
07/02/2020,20:00,Le Havre - Caen,,2.94,1,0,1,1
07/02/2020,23:00,Quilmes - Tigre,,2.95,1,0,2,1
08/02/2020,01:10,Argentinos Jrs - Lanus,,2.88,0,0,0,0
08/02/2020,12:00,Mafra - Nacional,,3.16,1,0,0,1
08/02/2020,15:00,Pro Vercelli - Pontedera,,2.88,1,1,3,1
08/02/2020,16:30,H. Raanana - Netanya,,3.03,1,0,1,2
08/02/2020,18:00,Torreense - Oleiros,,2.94,0,1,2,1
